property_id,property_name,address,city,submarket,property_type,suite,available_sf,min_divisible_sf,max_contiguous_sf,use_types,available_from,rent_psf_year,lease_type,opex_psf_year,office_sf,clear_height_ft,power_amps,voltage,hvac,clean_room,dock_doors,parking_per_1000,status,brochure_url,source_message_id,source_subject,updated_at,notes
P-001,Atlas Flex Campus,100 Innovation Loop,Austin,North Austin,flex,100,18000,10000,18000,lab; r&d; flex,2026-09-01,21.00,NNN,6.50,3500,22,1600,277/480V,yes,yes,2,5.0,available,,seed-001,Demo seed,2026-08-14T09:00:00Z,Existing electronics lab and clean room
P-002,Atlas Flex Campus,100 Innovation Loop,Austin,North Austin,flex,200,28000,14000,28000,flex; light manufacturing,2026-09-01,20.50,NNN,6.50,5000,22,1200,277/480V,yes,no,3,5.0,available,,seed-002,Demo seed,2026-08-14T09:00:00Z,Expandable office
P-003,Circuit Works,2200 Copper Trace,Austin,Northeast Austin,flex,A,12000,12000,12000,lab; r&d,2026-08-15,23.00,NNN,7.10,3000,18,1200,277/480V,yes,yes,1,4.0,available,,seed-003,Demo seed,2026-08-14T09:00:00Z,Existing dry lab and ISO 8 clean room
P-004,Circuit Works,2200 Copper Trace,Austin,Northeast Austin,flex,B,22000,11000,22000,flex; office,2026-10-01,21.50,NNN,7.10,4500,18,800,277/480V,yes,unknown,2,4.0,available,,seed-004,Demo seed,2026-08-14T09:00:00Z,Clean room status requires confirmation
P-005,Silicon Hills Laboratory,310 Quantum Drive,Austin,Northwest Austin,flex,200,25000,12500,25000,lab; clean tech; r&d,2026-08-20,26.00,NNN,8.25,6000,16,2000,277/480V,yes,yes,1,4.5,available,,seed-005,Demo seed,2026-08-14T09:00:00Z,Turnkey wet and dry lab space
P-006,Silicon Hills Laboratory,310 Quantum Drive,Austin,Northwest Austin,office,300,16000,8000,16000,office; r&d,2026-11-01,28.00,NNN,8.25,12000,14,600,208V,yes,no,0,4.5,available,,seed-006,Demo seed,2026-08-14T09:00:00Z,Office-heavy R&D suite
P-007,Photon Park,4800 Lightwave Lane,Austin,Southeast Austin,industrial,10,30000,15000,30000,lab; advanced manufacturing,2026-09-15,19.75,NNN,5.90,4500,24,2400,277/480V,yes,yes,4,5.5,available,,seed-007,Demo seed,2026-08-14T09:00:00Z,High-power manufacturing lab
P-008,Photon Park,4800 Lightwave Lane,Austin,Southeast Austin,industrial,20,36000,18000,36000,manufacturing; warehouse,2026-09-15,18.75,NNN,5.90,4000,28,1800,277/480V,yes,no,6,5.5,available,,seed-008,Demo seed,2026-08-14T09:00:00Z,Outside 30K maximum unless divided
P-009,Red River Tech Center,900 Data Way,Austin,Central Austin,office,410,14000,7000,14000,office; technology,2026-08-15,34.00,NNN,12.00,14000,12,400,208V,yes,no,0,3.5,available,,seed-009,Demo seed,2026-08-14T09:00:00Z,Creative office
P-010,Red River Tech Center,900 Data Way,Austin,Central Austin,office,500,32000,16000,32000,office; technology,2027-01-01,33.00,NNN,12.00,32000,12,600,208V,yes,no,0,3.5,future,,seed-010,Demo seed,2026-08-14T09:00:00Z,Full floor
P-011,Lone Star Research Commons,6100 Research Bend,Austin,North Austin,flex,110,10000,10000,10000,lab; r&d,2026-08-20,24.50,NNN,7.80,2500,16,1000,277/480V,yes,yes,1,4.0,available,,seed-011,Demo seed,2026-08-14T09:00:00Z,Smallest lab option
P-012,Lone Star Research Commons,6100 Research Bend,Austin,North Austin,flex,120,15500,7750,15500,lab; flex,2026-08-20,23.50,NNN,7.80,3200,18,800,277/480V,yes,unknown,1,4.0,available,,seed-012,Demo seed,2026-08-14T09:00:00Z,Lab infrastructure incomplete
P-013,Bluebonnet Innovation Hub,7200 Blue Circuit,Austin,Southwest Austin,flex,210,20000,10000,20000,office; flex; r&d,2026-10-15,22.00,NNN,6.90,5000,20,1000,277/480V,yes,no,2,4.5,available,,seed-013,Demo seed,2026-08-14T09:00:00Z,No existing clean room
P-014,Bluebonnet Innovation Hub,7200 Blue Circuit,Austin,Southwest Austin,flex,220,27000,13500,27000,lab; flex,2026-10-15,24.00,NNN,6.90,5500,20,1400,277/480V,yes,yes,2,4.5,available,,seed-014,Demo seed,2026-08-14T09:00:00Z,Existing electronics lab
P-015,Capitol Compute Building,1300 Processor Place,Austin,Central Austin,office,600,24000,12000,24000,office; data center support,2026-09-01,36.00,NNN,13.50,24000,13,1000,208V,yes,no,0,3.0,available,,seed-015,Demo seed,2026-08-14T09:00:00Z,Office with redundant power
P-016,Foundry Flex One,8800 Foundry Road,Austin,Southeast Austin,industrial,100,45000,15000,45000,advanced manufacturing; flex,2026-08-25,18.50,NNN,5.25,6000,30,3000,277/480V,yes,no,8,6.0,available,,seed-016,Demo seed,2026-08-14T09:00:00Z,Divisible manufacturing facility
P-017,Foundry Flex Two,8850 Foundry Road,Austin,Southeast Austin,industrial,200,18000,9000,18000,flex; warehouse,2026-08-25,17.75,NNN,5.10,2500,26,800,277/480V,no,no,4,6.0,available,,seed-017,Demo seed,2026-08-14T09:00:00Z,Warehouse without full HVAC
P-018,Oak Hill Science Center,4100 Discovery Pass,Austin,Southwest Austin,flex,300,29000,14500,29000,lab; life science; r&d,2026-12-01,27.50,NNN,9.00,7000,16,1600,277/480V,yes,yes,1,4.0,future,,seed-018,Demo seed,2026-08-14T09:00:00Z,Future lab availability
P-019,Oak Hill Science Center,4100 Discovery Pass,Austin,Southwest Austin,office,400,17500,8750,17500,office; medical,2026-09-10,30.00,NNN,9.00,17500,13,500,208V,yes,no,0,4.0,available,,seed-019,Demo seed,2026-08-14T09:00:00Z,Medical office
P-020,Eastgate Maker Campus,2500 Maker Mile,Austin,East Austin,flex,C,13500,6750,13500,maker; flex; light manufacturing,2026-08-18,20.00,NNN,6.00,2800,20,1000,277/480V,yes,unknown,2,4.0,available,,seed-020,Demo seed,2026-08-14T09:00:00Z,Potential lab conversion
P-021,Eastgate Maker Campus,2500 Maker Mile,Austin,East Austin,flex,D,21000,10500,21000,lab; electronics; flex,2026-08-18,22.25,NNN,6.00,4200,20,1400,277/480V,yes,yes,2,4.0,available,,seed-021,Demo seed,2026-08-14T09:00:00Z,Electronics test lab
